commit,classifier
Refactored modifications to remove dependencies on implementations. One to go: ExectationModifierImpl should depend on LastInvocationProvider ,1
Refactored mocking and stubbing of especially objects. Removed some unneccessary interface methods and added some more javadoc ,1
Refactored mocking and stubbing of especially objects ,1
Refactored iterator and actions. Also added the posibility to modify expectations and to provide parameters to calls using forEach() constructions ,1
refactored ImageFactory ,0
refactored GenericRules ,1
Refactored for the new TDDoc strategy  now a builder can listen to TDDoc events and create  a structire that is serialized to disc  containing the suits and tests that were run  in the order they were run. Later more information such as serialized dynamic contexts will be made available via this structure. The structure can the subsequently be read and used to generate documentation from the data available via the structure. ,1
Refactored class names so that expressions is the rrot type. Expressions can be built up from single constraints  or any combination of constraints  operators and nested expressions. Currently the following operators are implemented: and (&&) or (||) xor (^) not (!) ,1
refactor base AI classes ,1
reduced sent informations ,0
really small change,0
re-factored threat handling,0
Raised test coverage slightly ,0
Quickly added needed constraints to make a working test-suite ,0
quick fix to remove readonlyexception ,0
Print stacktrace of caught exceptions additionally to meaningless error message. ,0
print AST Expressions as lisp terms,0
Prevent RegionType.toString() from delivering null ,1
Prepared for sequence diagram generation ,0
prepare handling of exception handling within ASM compiled Expressions,0
preparations of new release ,0
preparations for new release ,0
preparations for initial release ,0
preparation for new release ,0
Polished the testCoverage by testin NULL instances. ,0
Polished testCoverage ,0
Point Defence system allocation ,0
plugin stuff ,0
Playing with options for Prefect Planet rendering ,0
Picking up RMockServiceFactories from META-INF/services instead of classpath ,1
performance optimization:  - eliminated BaseFunction.apply + applyInline Template method pattern to keep stack shallow - replaced tracing by bytecode enhancement based tracing. That is no performance overhead if tracing is off.,1
Patch von Salthan (stm) Coordinate --> CoordinateID Ich habe die Klasse Coordinate in CoordinateID umbenannt. Das erzeugt natÃ¼rlich einen Haufen Ã„nderungen  aber erstens ist es analog zur Benennung der anderen Nachkommen von ID (EntityID  UnitID  ...) und zweitens sensibilisiert es kÃ¼nftig Programmierer fÃ¼r das Problem der Verwendung von Koordinaten als SchlÃ¼ssel in Hashtables. Substantiell hat sich aber nichts verÃ¤ndert. Origin Transformation: io.cr.CRParser kann jetzt so verwendet werden  dass er den Report gleich beim Einlesen im Koordinatensystem verschiebt. cr.Loader/io.GameDataReader kann dadurch einen Report verschoben klonen. util.ReportMerger verwendet dies wiederum  um Reporte zusammenzufÃ¼gen  ebenso wie demo.SetOrigin und swing.contextMapContextMenu. AuÃŸerdem verhÃ¤lt sich der ReportMerger jetzt eine Nuance intelligenter beim ZusammenfÃ¼gen. DafÃ¼r flog placeOrigin(...) in GameData raus. Und noch was ganz anderes: SplitSets-Reihenfolge (com.eressea.demo.desktop.MagellanDesktop) Beim Einlesen der Splitsets aus der desktop.ini-Datei werden die Splitsets jetzt in der Reihenfolge eingefÃ¼gt  wie sie in der Datei stehen und nicht mehr willkÃ¼rlich  wie bisher. Und zuletzt habe ich die Methode parseBuilding in io.cr.CRParser noch gefixt  das war mir im Zusammenhang mit dem TraumschlÃ¶sschen-Bug aufgefallen. ,0
our logo,0
organized imports ,0
Organized imports ,1
Optimized imports ,1
Optimized import ,1
Optimize imports ,1
open tasks fixed and improved faction ordering in factionstats improved,0
oops ,0
One task less on the TODO-list ,0
on the way to LETREC !,0
on the long way to LETREC,0
ok ,0
Not much ,0
news fix ,0
news entry ,0
newer looks library ,0
new transparent images (415pcs),0
new testcase for letrec: does not work yet ! note to self: fix it ASAP !!!,0
new test cases,0
New interface for the TestCaseListener ,1
new icons,0
New helper classes brought across ,1
new feature: tracing of function applies,0
new feature: support for java method calls from lisp function via . operator,0
new Feature: support for covariant derivations of the Function Interface.  Provides more type control. As a first step I ve introduced a new interface Predicate (Object... -> Boolean) that extents the Function interface.,1
new feature: support both DOT operator and dotted pair syntax,0
new feature: simple lisp interpreter in jlambda lisp,0
new feature: set! primitive,0
new feature: scheme primitive interaction-environment,1
new feature: scheme (begin x y x ...),0
new Feature: real closures + currying,0
new feature: quasiquote will work sooner or later...,0
new feature: quasiquote provide evaluation of qq during parse phase,0
new feature: quasiquote as I said: after some massaging the code it finally is working... ,0
new feature: quasiquote  @ is still making trouble ...,0
new feature: quasiquote,0
new feature: provie a hook mechanism that allow to invoke functions from anywhere in the fun4j runtime environment. new feature: scheme string operations,0
new feature: provie a hook mechanism that allow to invoke functions from anywhere in the fun4j runtime environment.,0
new feature: provide primitive that invoke JVM garbage collection.,1
new feature: print offending lisp term on error during (load  file),0
new feature: precompiler allows to toggle between inlining primitive operations and proper function calls.,0
new Feature: Parser can now read decimals and negative numbers FIX: parser is now more tolerant wrt. whitespace. ,0
new feature: new primitive operation <=,0
new feature: new functions implode explode staticfunction,1
new feature: more primitives as java coded functions,0
new feature: making printdepth and printlength available from lisp,0
new feature: macros ! now we can use defmacro to create let as simple macro. ,0
new feature: lketrec by lambda  not yet finished... ,0
new feature: Lisp varargs semantics implemented. E.g. (list 1 2 3 4) => (1 2 3 4),0
new feature: LETREC finally got working based exclusively on lambdas. example: (letrec ((even? (lambda (n) (if (zero? n) true (odd? (sub1 n)))))  (odd? (lambda (n) (if (zero? n) false (even? (sub1 n)))))) (odd? 37)) ;; is expanded to: ((lambda (even? odd?) (odd? 37 even? odd?))  (lambda (n even? odd?) (if (zero? n) true (odd? (sub1 n) even? odd?))) (lambda (n even? odd?) (if (zero? n) false (even? (sub1 n) even? odd?))))   ,0
new feature: let*,0
new feature: lambda may be abbreviated as \,1
new feature: implement letrec (needs some optimization),0
new feature: global (tracing true/false) facility that calls (trace fun) for all functions defined in the global environment,0
new feature: generic Parse operation that allows to parse strings into arbitrary lisp terms. e.g. used in string->atom,1
new feature: functions carry and use arity information,1
new Feature: Functions can now be generated from Java Method calls in Funcito style syntax,0
new feature: function composition,1
new Feature: foldright for Collections,1
new Feature: compiler can now be explicitely  invoked from REPL,0
new Feature: Collection to cons conversion,0
new feature: Collection API,0
new feature: closures at last! lambda terms now can refer to variables from an outer call siteas in (lambda (x) ((lambda (y) (+ x y)) 5)),0
new feature: building a no dependency jar based on the jarjar Link tool,0
new feature: basic prettyprinting,0
new feature: Api methods of Collections APi etc. will be available in lisp environment for a seamless switching between API and lisp calls. (work in progress),1
new feature: Api methods of Collections APi etc. are made available in lisp environment for a seamless switching between API and lisp calls. Update testcases,0
New Feature: allow user defined java Functions in Lisp,0
new feature: allow optional parameter in read to provide support for printing an input prompt like in (read (prin  input:)),1
new feature: allow function defines in scheme syntax (define (fun x y z) body),0
new feature: allow automatic registration of Function definitions in package org.fun4j.functions.  The new mechanism works in file-system an when loading from jar file.,0
new feature: added parse(lispterm) to Template API,1
New Feature: added more switches to the Template Facade class,1
new feature: added function call statistics to the repl,0
New Feature: added closures and currying. NewFeature: higher order functions API for Java Collections,0
new feature: added a simple prettyprinter,0
new feature: add support for non-destructive sorting of list based on predicates.,0
new Feature: Add support for explicit lambda terms as functions (work in progress),0
new feature: add prettyprinting routine,0
new feature: add more scheme primitives,0
new feature: add more scheme math functions,1
new feature: add more scheme functions,0
new feature: add lisp operations to Cons,0
new feature: add a new static method fn(String lambdaTerm) that allows to define Functions based on lisp code with minimal coding overhead in user code  like in this example: Function add = fn((lambda (x y) (+ x y))); cleaned up compilation exceptions,1
new feature: + and * allow arbitrary number of arguments. (+ 1 2 3) -> 6,0
new Compiler expression for letrec variable binding,0
new beta release :-) ,0
multiple enhancements  basically some preparations for adding game support for different games ,0
Moved xdoc->xdocs ,0
Moved to the proper source root... ,0
Moved to META-INF services ,0
moved to activitymail 1.6 ,0
Moved the TestCaseListener to core.events ,1
Moved testEquals to another testcase ,1
moved some files ,0
Moved A  S  C and M into RMockTestCase and changed them to normal members. ,1
move report.php to report/index.php ,0
More work to instantiate a game ,0
more work on vehicles ,0
more work on vehicle design ,0
More work on the SelectFiringWeaponsDialog ,0
More work on the Infantry Squad Movement Dialog ,0
more work on the basics of element threat calculation ,0
More work on Prefect Maps ,0
More work on Point Defence Allocation dialog ,0
more work on placement ,0
more work on opportunity fire resolution ,0
More work on Opportunity Fire ,0
More work on Mapping ,0
More work on Leviathan Movement Phase ,0
More work on internal structure template ,1
more work on initial placement ,0
More work on Infantry Movement. Added Building interaction (enter  exit  up  down etc) ,0
More work on game boards and terrain ,0
More work on Game and GameServer ,0
More work on CapitalShipStatus ,0
More work on CapitalShip Weapon Mounts ,0
more work on artillery declaration ,0
more work on applying damage to CapitalShip ,0
more translation stuff ,0
more todos ,0
More threat register work,0
more po stuff ,0
More of the engine accessible via the Bus ,0
More mucking around with sheet dialogs ,0
more mucking about for not much result,0
more msgs ,0
More map analysis work ,0
More map analysis ,0
more manual updates ,0
more localization ,0
More game work ,0
More functionality in place for the new parser. The skeleton is in place but no flesh yet. ,0
more fun with closures...,0
more fixes ,0
more files ,0
more fighter unit work ,0
More element placement code ,0
More disconnection handling ,0
more debugging and tweaks ,0
More debugging ,0
more debug ,0
more commit informations for pavkovic@users.sourceforge.net ,0
More code added to Painting Declaration Phase ,0
more classes ,1
More changes to load capital ships from xml ,0
More changes to bring Infantry up to scratch ,0
More basic units ,0
more basic script groundwork ,0
More additions to Painting resolution ,0
monolithic jar loader ,0
missing keys ,0
miscellaneous stuff ,0
misc fixes ,0
Minor tweaking ,0
minor stuff ,0
minor project file shuffle ,0
Minor mucking about with line of sight ,0
minor formatting changes ,0
minor fixes ,0
minor fix ,0
Minor cleanup ,0
Minor Changes Added test class for probability ,0
minor changes ,0
minor adjustment ,0
migrated to Eclipse 3.2.2 ,0
Messing about with Sheet Dialogs ,0
merging bug with groups fixed ,0
merged Mac OS Makefile patch ,0
merge with repository on eressea.upb.de ,0
merge with eressea.upb.de ,0
merge ,0
MemoryManagment,0
MapContext: fixed UpdateSign,0
Many many changes. Mostly to do with getting source and target hex selection working ,0
manual update ,0
Makefile ,0
make version fields public,0
make functions Serializable,1
major code refactoring. Expect things to be broken. ,1
mail-bot translation update ,0
Magellan repository creation ,0
Made Turn Details Panel a bit better for the longer sub phase names ,0
Made the remaining elements to move calculations consistent Added a heap of logging ,0
Made docbook parameters configured ,0
Made docbook parameters configurable ,0
Lots of work on Leviathan Movement Phase Unit selection is broken again. Probably due to Affiliation work. LeviathanMovementRound is broken when selecting units to move. ,0
lots of progress again ,0
Lots of minor fixes ,0
lots of improvements ,0
lots of changes ,0
looks like lisp 1.5,0
Logger.java: reduce logger to singleton object. GenericRules.java: reactivated support for I8N. EresseaOrderCompleter.java: prevent NPE in IgnrCsComp. MagellanUndoManager.java: catched exceptions while undo/redo to keep system alive. ,1
license fix,0
license change. Fuck the GPL welcome ISC.,0
level change for new skills not notified correctly while merging ,0
letrec example (does not yet work properly...),0
late commit ,0
laf panel ,0
Just exctracted the connection point to a separate class. ,0
Just checking in to have it all in cvs. May not compile. ,0
Jedes Projekt sollte ein Changelog-File haben. ,0
javaDoc typo ,0
JavaDoc ,0
japanese localization update ,0
integration work to get weapon fire declaration phase happening ,0
Inline Apply,0
Initial upload ,0
initial transfer ,0
Initial revision ,0
initial checkin ,0
initial checkin,0
initial checkin,0
initial check in,0
infrastructure for requesting offboard asset selection ,0
Infantry now drawing ,0
indentation ,0
indent ,0
Increase version number to 4.2.0 to make sure we can idnetify new sources ,0
incoming browse fix ,0
Included **/Test*.java instead of **/*Test.java in maven Junit tests to run ,0
include cglib stuff in fun4j jar. allows to start the repl it with java -jar fun4.jar,0
Improved testcoverage but adding testcases  refactor away FactoryFactory:s etc. Updated version number. ,0
improve junit target for jenkins CI,0
Imported Centurion Maps 2 and 3 ,0
import fixes ,0
Implemented sending of mark events so that from(id) to(id) constructs are availabelï¿½ on  a codeblock. ,0
Implemented references. References gives greater flexibility when it comes to describing refernced objects. IE if an expresison is refereced you want to pass the describer to the expression (expression.describeWith(describer) but when a regular object is referenced you want to describe it directly with describer.describeReference(object.toString()). References makes this possible by changing the reference type. ,1
Implemented Modifier and array references ,0
Implemented content describer and prepared removal of the Describable interface. ,1
Implemented ConstraintDescriber and removed the Describeable interface from Constraint to make constraint descriptions more unified and explicit. ,1
Implemented comparable on references and implemented a lessThan constraint ,1
Implemented an action to add found classes to a Suite ,0
implemented <= and >= constraints ,1
implement lisp unit test including exception catching (first draft),0
implement exception catching,0
ignore .settings ,0
idea: using applyInline to implement let (ATM this works only for non recursive functions),1
iconwork1_2,0
icons look ok ,0
icons ,0
i18n/l10n updates ,0
i18n merge ,0
i18n ,0
http://eressea.upb.de/mantis/view.php?id=383 PFLANZE ,0
http://eressea.upb.de/mantis/view.php?id=344 http://eressea.upb.de/mantis/view.php?id=667 http://eressea.upb.de/mantis/view.php?id=591 Anpassung auf Hennings letzte Version. ,0
http://eressea.upb.de/mantis/view.php?id=1175,0
http://eressea.upb.de/mantis/view.php?id=1131 ,0
http://eressea.upb.de/mantis/view.php?id=1103 http://eressea.upb.de/mantis/view.php?id=1161,0
hotlist ,0
hotfix for round 407 part II ,0
Hopefully made the descriptions of ordered sections more clear. ,0
hope I don not break anything ,0
hooking up unit AIs to element events ,0
Hooking up CapitalShip damage ,0
Hooking element ais to ThreatRegister,0
Hooking element AI movement calculation results to threat register,0
hooked up listener ,0
hm ,0
hierarchy files updated verbose flags for most tools ,0
hide jfreechart-0.9.8 in release for now ,0
gui tweaks ,0
group commits for activitymail by environment variable USER ,0
Got the testStructure to render. It is semi-pretty with no details about the tests other than the names and class-names ,0
gnutella works again somewhat ,0
gnutella compiles again ,0
Getting started Tutorial,0
getting ready to release ,0
Getting first cut of 3d boards to display,0
get version from txt file ,0
generic unsynchronized event list ,0
Generating the expectation message can throw exceptions which can give you a StackOverflow while throwing that exception. Now we catch runtime exception and print only the message if a runtime exception is caught. ,0
Further work on requesting AIs ,0
Fundamental changes to Sprite class to better use inheritance ,1
found reason for fog of war bug. Removed temporary fix ,0
found dead locking probs ,0
Found an isSatisfied case that I hadn t thought about  if the current visitable is satisfied but there are subsequent unsatisfied visitables in the ordered section. ,0
forgot to add lock.php ,0
forget the important new File: ReserveRelation.java,0
focuses and gui tweaks ,0
fixes for magellan  and a compact mode ,0
fixes and features ,0
fixes ,0
fixed uploads ,0
fixed update bug teachers fixed update bug new/added CR,0
Fixed the assertThat message to be easier to read ,0
Fixed the (c) text so that it appears before author ,0
fixed some typos ,0
fixed some stuff ,0
Fixed some misspelling Added testcase for expectThatExceptionThrown ,0
Fixed so that RMockTestCase does not thro AssertionFailedException for all exceptions which solved the errors reported as exceptions bug. ,0
Fixed so that operators are sent to the parser output ,1
Fixed small bugs ,0
fixed show stopper ,0
fixed NullPointerException ,0
Fixed minor problem with Ammo Explodes ,0
Fixed minor bug in movement phase that stopped last element being moved ,0
Fixed large problem with duplicate elements on the server fixed movement issues ,0
Fixed interface stubs which solved most failing testcases ,0
fixed imports ,0
fixed icons ,0
Fixed escaped underscores ,0
Fixed documentation ,0
fixed dependency ,0
Fixed constraint descriptions ,0
fixed completeRoadConnection,0
fixed compile errors ,0
Fixed classpath and projekt file for eclipse ,0
fixed character stuff ,0
fixed bugs ,0
Fixed bug where we looked for a call with Exception  but it should be Expectation. ,0
Fixed bug in bugfix for unique mock names. ,0
fixed bug #773 ,0
fixed bug ,0
Fixed auto deployment bugs ,0
Fixed another bug in UnitContainer.merge. RegionTypes were not set correct under all circumstances (mainly in connection with RegionType.unknown). ,0
Fixed a bug  the configurator did not add simple services to the hub ,0
fix: using ;; as comment sign,0
FIX: update project links to SF.net,0
fix: toFunction now also works for static Methods ,0
FIX: repaired handling of BigDecimals cleaned up handling of lambdas and macros,0
FIX: repaired broken html link to download page,0
fix: Removed RMockSystemError ,1
fix: Release notes and other release stuff ,0
FIX: produce correct closures even if function is called with 0 arguments,1
FIX: Parser must handle useBigInteger switch correctly,0
fix: Optimization  getBeanInfo is extremely slow. RMock and rDoc run much faster with this optimization. Even with the optimization in place most CPU and memory is consumed in getBeanInfo so the next stap should be to get rid of that call aswell. ,0
fix: No recordings are made when the mocked or intercepted object is making calls to itself in the constructor. ,1
FIX: multiple calls to macros did not work CstObj fixed,0
fix: make sure undefine is called before define,0
Fix: made StringUtils static ,1
fix: InterfaceNotAllowedException is now thrown when trying to provide an interface to mock-  intercept- or monitor methods reserved for classes. ,1
fix: Improved exception handling and fixed bug 1432790 ,0
FIX: handle lambdas correct!,0
FIX: getting rid of compiler warnings,0
fix: get rid of warnings,0
fix: Fixed the hairy bug with premature disconnection from the hub in cases when EngineException was used. The problem was that the hub.endScope() call in the finally clause of runBare in RMockTestCase cleared the hub from objects needed by the lazy getMessage() on EngineException (which was invoked at a later stage). ,0
fix: Fixed some bugs in sequence diagram generation ,0
FIX: fixed reading of svn revision,0
FIX: Fixed a bug in MethodStep where methods in superclasses of the testcase were ignored silently resulting in green bar because tests in the superclass were not run (althogh they were reported as successful) ,0
FIX: Compiler maintains uniqueness of compiled class names.,0
FIX: clean partial application stuff,0
fix: ClassNameConstraint showed the wrong name ,1
fix: changed all occurences of def to define,0
fix: Bug with CglibProxyFactoryFactory  it didn t return the correct interface (and there were no test case for it!) ,1
FIX: boolean Expression must explicitely cast their arguments to Boolean ,1
fix: Array references do no longer throw NullPointerException when compared to a null-value ,1
fix: arity stuff doesn t really work,0
fix: add replacement for  *  in names of generated classes,1
FIX made load a regular function,1
