commit,classifier
update images git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@502 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
update images git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@501 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
update ids git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@423 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Update icon ,0
update Hungarian (by Istvan Somlai) ,0
Update help text ,0
Update help text ,0
Update Handlebars to v1.0.0 and recompile templates ,0
update from CT32 git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@439 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
update dpchart.pie.js  add event actions ,1
update DPChart.getColors(c); and let it create more different colors ,1
update download page git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@330 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
update dot.js ,0
Update descriptions of ant targets ,0
Update copyright year ,0
Update copyright notice ,0
update components ,0
update component ,0
update common ,0
update comment for avatar csrf  and add csrf token check to permission page ,0
Update comment ,0
update button images git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@345 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Update after changing definition in Move.toString() ,1
Update access permissions Add  -Indexes  option to .htaccess in root folder and remove .htaccess from plugins folder ,1
Update ,0
Update ,0
Upadate widget. It can pass some data to server now ,0
Unused duration gem removed,0
Unify translations: update localization constants from legacy branch ,0
Unify def_message macros ,0
Undo last change ,0
Undo last change ,0
ui text missing git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@2017 a97e2381-89e5-4abb-bab3-167db6db766c ,0
ua update git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@609 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
ua buttons git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@668 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Typo in comment ,0
typo git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@35953 a97e2381-89e5-4abb-bab3-167db6db766c ,0
typo git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1400 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Typo ,0
typing notifications in chat window git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@70 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
type for series ,0
Tweak Flex example,0
Tune layout ,0
Transmit status has no bearing on equality of Orders,0
topoloy 1.1 ,0
topology.min ,0
topology enables drag scale fullscreen ,0
tooltip svg bar chart line chart ,0
tooltip getRange legend bug fixed ,0
TODOs updated,0
tip ,0
Tiny code cleanup git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13461 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Timestamps not checked any more AR only sets them after save,1
time_and_sales script now working ,0
Tick message classes put into a separate source file,1
thread.php: extract ok/error methods git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@119 c66351dc-e62f-0410-b875-e3a5c0b9693f ,1
This is a big commit regarding a huge flaw with the model for dealing with an eclipse VFS. Specifically  multiple eclipse file links can in fact point to the same absolute file  so using the absolute file as a key to map backwards to an eclipse-based path is unacceptable and can yield more than one answer.  This commit will cause archives unit test regressions  which I will work on fixing.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@8977 a97e2381-89e5-4abb-bab3-167db6db766c ,0
This commit forces the User to set a password for the Administrator before doing anything else after the installation. ,0
The pre-chat survey in no longer displayed for an invited visitors. ,0
the failing method was an old @FailureExpected due to upstream bugs which have been fixed git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@16216 a97e2381-89e5-4abb-bab3-167db6db766c ,0
testcase of svg ,0
Test account verification,0
templates for redirected page git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@172 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
tag fixed ,0
Switcher status from Error to Warning to avoid model dialog if a module is not available anymore - it will be logged as warning by Eclipse statusmanager. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@4380 a97e2381-89e5-4abb-bab3-167db6db766c ,0
switch leavemessagesent to template git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@165 c66351dc-e62f-0410-b875-e3a5c0b9693f ,1
svgchart_rebuild ,0
SVGChart --> SvgChart ,1
svgchart ,0
svg line chart chart ,0
svg line chart and svg dpchart improve ,0
svg line chart ,0
svg 1.3 ,0
support type for each series ,0
Support for new versions of messages ContractData (v.8) and BondContractData (v.6),0
Support for API 967 final  TWS 932 ,0
submit ,0
style && structuction change ,1
style ,0
Start with title GoGui ,0
start heatmap ,0
start coding ,0
start ,0
Specs fixed ,0
Specs connectivity options needs to be changed to run tests,0
Specs codestyled,0
Specs can access the name of Rails app via OPTS[:rails]. Correct handling of json/xml specs  for Dummy Rails app.,0
Specs added to assert hypothetical (what-if) OpenOrder,0
Source for new Incoming message is either a socket or a data Hash.,1
source common deps from update site instead of from svn sources git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@18481 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Some messaging for runtime wizard git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@14438 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Socket now silently ignores nils ,1
Small cleanup ,0
Small change in formatting ,0
slight size enlargement for second column git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@3367 a97e2381-89e5-4abb-bab3-167db6db766c ,0
site update after 1.6.2 git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@632 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Simplify script requires,1
Simplify contract builder,0
Simple Rails integration spec for Order State,0
Show program panel disabled if no program attached ,0
show if group is online  filter out empty groups in redirect and visitor selector  captcha checkbox in settings git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@592 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Shorthand for IB::Models ,0
Shorter comment ,0
Setting up ui for addition of ear  ejb types git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1982 a97e2381-89e5-4abb-bab3-167db6db766c ,0
set timeout for waitUntil methods git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@43436 a97e2381-89e5-4abb-bab3-167db6db766c ,1
Set Quaqua button property ,0
Set player name from program ,0
Set initial focus ,0
set grid color ,0
Separate Rails-specific specs into rails_spec,0
Send command selected in list. Disable Run button if appropriate ,0
Scripts documented,0
script  project file  regenerated js git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@128 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
screenshot git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@8 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Scale histos to same x range ,0
Save as UTF-8 ,0
save & search git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@584 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
RSpec exclusion filters and top level metadata added,1
right= will return 0 if the Contract type is not a put or call Change the printers to not use scientific notation Fix issues created with switching BigDecimal format ,1
rewrite tooltip position commput ,0
Reworked Messages::Outgoing socket-handling logics added #to_s presentation for messages that can be directly compared to gateway/TWS API message log file.,1
Respect --port option for historic_data_cli example ,0
Resources for settings pane git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@108 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Resolved ,0
RequestMarketDataType documentation codes/constants and spec stub,0
Replaced all mysql_free_result by db_free_result  except for the directory /install ,1
Reorganized integration Order specs,0
Renamed package from as.core.packages.types to as.core.extensions.archives Moving to a cleaner API which can be opened up logically and more easily extended. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@3539 a97e2381-89e5-4abb-bab3-167db6db766c ,1
Rename some packages ,1
Rename Options.getString() to get()  isSet() to contains() ,1
Rename menu label ,1
Rename GtpNet to GtpServer ,1
removed unnused imports (to correct warnings) git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@33717 a97e2381-89e5-4abb-bab3-167db6db766c ,0
removed src folder from source path git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1101 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Removed server process model and all references to it.  Now only a reference to the running server process is kept.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@2209 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Removed old @todo ,0
remove wrong configuration options (server type) git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@46 c66351dc-e62f-0410-b875-e3a5c0b9693f ,1
Remove unused variables ,1
Remove unused variables ,0
Remove unused variable ,0
Remove unused local variables ,1
Remove unused local variable ,0
Remove unused local variable ,1
Remove unused imports ,0
Remove unused imports ,0
Remove unused import ,0
Remove unused import ,0
Remove unused function ,1
Remove unused data members ,0
Remove unnecessary local variables ,0
Remove trailing whitespace ,0
Remove the makePackages script ,0
Remove some margins ,0
Remove some duplicated code in libs/chat.php ,1
Remove some debugging output ,0
Remove order_id aliases to local_id. Use just local_id no dirty tricks,1
Remove option -ea ,0
Remove one workaround for Mac ,0
remove odd git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@127 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Remove obsolete constructor for sgf.Writer using moves from Board ,1
Remove obsolete comment ,0
remove null point ,0
remove news.xml git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@418 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Remove executable property ,0
Remove duplication from install/dbinfo.php ,1
remove dot from visitor navigated to.. message git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@629 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Remove depricated calls to to_digit ,0
remove default grid ,0
remove bin git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@21670 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Release Connection.current API ,0
Regularize spec suite options,0
Registration form for Mibew Hosting. git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@546 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
regenerate javascript git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@98 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
regenerate javascript  adjust version git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@415 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Reformat to max 78 chars/line ,0
Reformat ,0
Refactor build_js_response function Rename it to build_widget_response and move to libs/common/response.php ,1
refactor .tests.feature to .test.feature for consistency (JBIDE-8734) git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@34201 a97e2381-89e5-4abb-bab3-167db6db766c ,0
redirect to profile page after first login; informational banner when password is blank; do not enforce password change; rename Home -> Dashboard ,0
rebuild code ,0
rebuild ,0
Readme fixed ,0
README extended ,0
Readme extended,0
readme come on ,0
readme ,0
Read into array of bytes ,0
Read ErrorStream unbuffered ,0
Read bug fixed,0
re-order main menu git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@642 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Rake versioning bug resolved ,0
pt-br by Leandro Luquetti git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@587 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Provide a superclass for tests that require one test for every server type git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@39160 a97e2381-89e5-4abb-bab3-167db6db766c ,0
propagate typing notifications on server git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@69 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
project settings git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@123 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Print exception in uncaughtException() ,0
preview.php -> themes.php git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@462 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Prettify some examples,0
Prettify readme,0
Preserve non-root game info as SGF properties ,0
Prepare for version 0.9pre1 ,0
Prepare for version 0.2 ,0
Prepare for release 1.1pre1 ,0
Prepare for release 1.0pre3 ,0
Prepare for release 0.3.0 ,0
preliminary french localization git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@204 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Prefer uneven number of pixels for field sizes. ,0
Pre-release cleanup,0
Plumbing necessary for Rails-specific specs to pass for Dummy app,0
pie text optimize ,0
pie ,0
permissions git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@221 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
periodic updater also re-adds missing modules that *are* deployed but were removed incorrectly.  RHDS-204 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@3984 a97e2381-89e5-4abb-bab3-167db6db766c ,0
path changes ,0
page.html changed ,0
OrderState is now received via OrderStatus OpenOrder,1
OrderState fields added ,1
OrderState defaults are nil. It is less misleading than zeroes.,1
Order#serialize_with added ,1
Order spec extended,0
Order placement specs reorganized,0
Order model cleaned up validations added,0
Order messaging specs extended,0
Order equality bug fixed ,0
Order equality bug fixed,0
Order and OrderState API extended ,0
option_data script now working ,0
Optimize ,0
Opening the API a bit. This class could be a good candidate for Core git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@14714 a97e2381-89e5-4abb-bab3-167db6db766c ,1
Open mibew.org link in the bottom of operators pages in a new window ,0
Only JBoss servers are shown in view now git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1482 a97e2381-89e5-4abb-bab3-167db6db766c ,0
on drag ,0
Object s methods callbacks replaced by functions ,1
Note in self.future() convenience method that the next_expiry calculation is currently wrong most of the time; recommend manual specification until it is fixed. ,0
NLS moved messages git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1378 a97e2381-89e5-4abb-bab3-167db6db766c ,0
nl dataset git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@621 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
nl  tr  pl buttons git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@672 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
NextValidId properly renamed,0
news git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@417 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
New scripts working ,0
New option data spec,0
New ManagedAccounts message used for account verification,0
new image git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@495 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
New fields added and correctly initialized in Order,0
new dpchart.bar.js ,0
new deployable factory for single deployable. will need a ui change shortly. poublisher for them git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@2987 a97e2381-89e5-4abb-bab3-167db6db766c ,1
New analyze command type eplist ,0
Namespace fixed ,0
Namespace cleanup ,1
namespace change ,1
Moved themeMessage method from ThreadProcessor to Thread ,1
Moved many interfaces into as.core.server for public access Moved PollThread and ServerStatePollerType into as.core.server.internal Moved the remainder of polling to as.core.extensions.polling Moving to a cleaner API which can be opened up logically and more easily extended. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@3545 a97e2381-89e5-4abb-bab3-167db6db766c ,1
Moved database.php to libs/classes directory and related test case to tests/webim/libs/classes ,0
Move the examples to the bin directory ,1
Move saveCallback and loadCallback to RequestProcessor class ,1
Move message kinds from message view to message model ,1
move js git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@414 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Move GuiUtils from package gui to utils ,1
Move files into lib ,1
move CustomEvent from global to DPChart namespace and reduce prototype ,1
Move control.handlebars template to default JavaScript application ,1
move chat.css into templates git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@446 c66351dc-e62f-0410-b875-e3a5c0b9693f ,1
Move all classes to namespace net.sf.gogui ,1
More work on GtpStatistics ,0
More updates after moving to new namespace ,0
More translations ,0
More specific SymbolError handling ,0
more logos git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@638 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
More internationalization ,0
Monolitic IB::Messages::Incoming source file broken down finally,1
Modified PluginManager to store plugins objects and use objects with regular methods instead static one ,1
Modified Messages to use new Underlying object,1
modified forex.rb; tests pass ,0
Modified forex.rb from rab1234-develop ,0
modified bin/historic_data ,0
Models are now fully DB-backed ,0
ModelProperties now use ActiveSupport::Concern (see Rails Next Supermodel),0
model.total float bug fix ,0
Model.prop macro added,1
Model validations and DB backend ,0
Model specs rewritten using metadata thousands of examples auto-generated,0
missing file git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@42504 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Misc Ruby examples added ,0
minor: spaces and tabs in views git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@115 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
minor: spaces and tabs  use select_multi_assoc git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@114 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
minor: formatting git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@112 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
minor: fix spaces git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@174 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Minor spec corrections,0
minor change  update copyr git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@58 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
minor change  update copyr git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@56 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
min max ,0
Messages::Incoming#load_map understands pre-conditions and versioning now,1
Messages like RTBars etc implemented ,0
Message specs prettified ,0
Message specs cleanup ,0
Message serialization should be primarily handled in Messages ,0
Message classes improved,0
Merge remote-tracking branch  upstream/master  into hist_data ,0
Merge remote-tracking branch  ib-ruby/master  ,0
Merge pull request #85 from topofocus/patch-1 Create snapshot_market_date,0
Merge pull request #78 from davek42/fix_flex_query_url Updated Flex Query URL,0
Merge pull request #62 from mnml0/master Respect the --port option in historical_data_cli example,0
Merge pull request #51 from arvicco/master FLEX report example,0
Merge pull request #49 from davek42/examble_bracket_order Created an example script for placing a bracket order,0
Merge pull request #48 from arvicco/master Complete Rails Engine TWS 929 support,0
Merge pull request #45 from rab1234/modify-forex.rb Modify forex.rb,0
Merge pull request #43 from arvicco/master Fixing the fix,0
Merge pull request #42 from arvicco/master More Rails models and minor bugfixes,0
Merge pull request #33 from arvicco/master Bugfix release 0.8.4,0
Merge pull request #31 from arvicco/master Specs for Rails integration Combustion alternative,0
Merge pull request #27 from arvicco/master Update to TWS 926,0
Merge pull request #23 from arvicco/master Fixes to improve DB backend functionality,0
Merge pull request #1 from OSSG/master synchronization of the codebase,0
merge liangliang ,0
Merge branch  master  of https://github.com/DPF2EBS/venus ,0
Merge branch  master  of https://bitbucket.org/island205/venus ,0
Merge branch  master  of github.com:ricpruss/ib-ruby Conflicts: spec/internal/db/combustion_test.sqlite ,0
Merge branch  master  of github.com:OSSG/mibew into ossg_master ,0
Merge branch  master  of github.com:DPF2EBS/venus ,0
Merge branch  master  of github.com:arvicco/ib-ruby ,0
Merge branch  master  of bitbucket.org:island205/venus ,0
Merge branch  index_fix  ,0
Merge branch  develop  of github.com:ib-ruby/ib-ruby into develop ,0
Merge branch  develop  ,0
Market data request now working ,0
Mark bin/ scripts as executable ,0
Making ComboLeg join model work smoothly through associations,0
Make WindowsLookAndFeel default on Windows; update JGoodies Looks version ,0
Make user.dir default if no last file ,0
Make this quirky work around for setting the final size of GtpShell work again ,0
Make some private fields final ,0
Make session information for game tree window work again ,0
Make operator s email unique in the system ,1
make it better ,0
Make interrupt work again ,0
Make constructor unavailable ,1
Make class final ,1
made the jboss server view s icons more eclipse like and rearranged/reworded the contributions in the lower half of the view git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@2117 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Made message specs more precise,0
lots of charges ,0
Looks like i screwed up the toolbar when fixing the toolbar :D This should do it :) git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@325 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Login site - hope it works this time git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@536 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
load encodings from the master ,0
link to visitors with or without menu git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@430 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
line dotradius ,0
line chart bug fix ,0
line chart bind model ,0
line bug fixed ,0
line bar bind model ,0
line ,0
limit number of threads from one address git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@459 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
license link fixed git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@6 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
legend bug ,0
legend  bar ,0
legend ,0
leave message  check email  db encoding git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@38 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
layout ,0
js versioning git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@618 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
JBIDE-9893 - browser open for ear project git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@36431 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-9724 - fixed in beta1 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@36186 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-9549 depend on http://download.jboss.org/jbosstools/updates/requirements/egit/1.1.0.201108230343 to resolve dep on eGit 1.1 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@34181 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-9349  - updating default execution environment git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@32939 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-9311 small adjustments to the publisher and an exception thrown in the publish method to ensure none of my code does such things again.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@32742 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-9074 - to trunk for checking initial startup state and not starting a second time if server is already up.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@31857 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-8960 - removal of deprecated code git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@31377 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-8959 - fixes for as7    git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@31376 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-8838 reorder file to match other examples git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@39933 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-8670 - new features git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@30222 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-828 - suspend / resume deployment scanner.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@6801 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-8256 - patch to trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@28665 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-8122 trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@28359 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-7920 - copying widgtes in deploy only server to first page git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@27962 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-7860 JBIDE-7934 cache classpath for each runtime but listen for runtime changes git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@27880 a97e2381-89e5-4abb-bab3-167db6db766c ,0
